Location name,Amount spent (HUF)
Baranya County,218080
Borsod-Abaúj-Zemplén County,359361
Budapest,1324361
Bács-Kiskun County,302484
Békés County,196981
Csongrád County,267434
Fejér County,245058
Győr-Moson-Sopron County,279976
Hajdú-Bihar County,330878
Heves County,172787
Jász-Nagykun-Szolnok County,221352
Komárom-Esztergom County,185407
Nógrád County,98108
Pest County,694072
Somogy County,160977
Szabolcs-Szatmár-Bereg County,292181
Tolna County,129996
Unknown,169
Vas County,144283
Veszprém County,185037
Zala County,149766
