Page ID,Page name,Disclaimer,Amount spent (BSD),Number of ads in Library
108786101365665,Senator Maxine Seymour,Senator Maxine Seymour,≤100,2
114606549484,Philip Brave Davis,The Office of The Prime Minister Bahamas,≤100,1
101793669214903,Lili Almeida,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
572203686296623,Relieved,These ads ran without a disclaimer,≤100,1
111068872040824,Super Quiz,These ads ran without a disclaimer,≤100,2
193394557345243,Devex,These ads ran without a disclaimer,≤100,1
109829368496536,Isabel Félix,These ads ran without a disclaimer,≤100,1
371227786709544,Refund Express LLC,These ads ran without a disclaimer,≤100,1
450326391674911,Allianz,These ads ran without a disclaimer,≤100,1
1025152104235573,Team Cooper - Chester Cooper,Team Cooper - Chester Cooper,≤100,1
