Location name,Amount spent (DKK)
Capital Region of Denmark,27176
Central Denmark Region,12933
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,5559
Region of Southern Denmark,11588
Unknown,≤100
Zealand Region,7951
