Location name,Amount spent (EUR)
Attica (region),2701
Central Greece (region),130
Central Macedonia,647
Crete,259
Eastern Macedonia and Thrace,181
Epirus (region),≤100
Ionian Islands (region),≤100
Northern Aegean,≤100
Peloponnese (region),197
Southern Aegean,117
Thessaly,209
Unknown,≤100
Western Greece,279
Western Macedonia,≤100
