Location name,Amount spent (SEK)
Blekinge County,2742
Dalarna County,4723
Gotland County,1540
Gävleborg County,4750
Halland County,5554
Jämtland County,2314
Jönköping County,6167
Kalmar County,4759
Kronoberg County,2992
Norrbotten County,3923
Skåne County,22965
Stockholm County,45600
Södermanland County,5275
Unknown,≤100
Uppsala County,7375
Värmland County,4603
Västerbotten County,5148
Västernorrland County,3927
Västmanland County,4789
Västra Götaland County,32068
Örebro County,5499
Östergötland County,8208
