Location name,Amount spent (USD)
Al Anbar Governorate,101
Al-Qādisiyyah Governorate,≤100
Babil Governorate,102
Baghdad Governorate,480
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,153
Erbil Governorate,443
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,166
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,169
Saladin Governorate,≤100
Sulaymaniyah Governorate,575
Unknown,≤100
Wasit Governorate,≤100
