Location name,Amount spent (CAD)
Alberta,20892
British Columbia,6893
Manitoba,2950
New Brunswick,1464
Newfoundland and Labrador,962
Northwest Territories,291
Nova Scotia,1646
Nunavut,219
Ontario,23055
Prince Edward Island,296
Quebec,11032
Saskatchewan,1996
Unknown,≤100
Yukon,253
