Location name,Amount spent (SEK)
Blekinge County,4486
Dalarna County,9383
Gotland County,2188
Gävleborg County,9436
Halland County,9744
Jämtland County,4436
Jönköping County,10715
Kalmar County,6769
Kronoberg County,5284
Norrbotten County,8819
Skåne County,44448
Stockholm County,77629
Södermanland County,9436
Unknown,≤100
Uppsala County,14296
Värmland County,8566
Västerbotten County,8664
Västernorrland County,7689
Västmanland County,8449
Västra Götaland County,52394
Örebro County,9002
Östergötland County,15906
