Location name,Amount spent (THB)
Amnat Charoen,5585
Ang Thong,2904
Ayutthaya,15773
Bangkok,584528
Bueng Kan,4004
Buriram,17713
Chachoengsao,12014
Chai Nat,3284
Chaiyaphum,11189
Chanthaburi,21772
Chiang Mai,43393
Chiang Rai,25596
Chon Buri,67614
Chumphon,15588
Kalasin,9221
Kamphaeng Phet,6314
Kanchanaburi,20584
Khon Kaen,42376
Krabi,17324
Lampang,39422
Lamphun,9477
Loei,7223
Lop Buri,8748
Mae Hong Son,10736
Maha Sarakham,11967
Mukdahan,4448
Nakhon Nayok,11398
Nakhon Pathom,19462
Nakhon Phanom,8131
Nakhon Ratchasima,48571
Nakhon Sawan,9623
Nakhon Si Thammarat,43217
Nan,4249
Narathiwat,7238
Nong Bua Lam Phu,6156
Nong Khai,8157
Nonthaburi,29543
Pathum Thani,30622
Pattani,9711
Phangnga,5819
Phatthalung,22470
Phayao,8876
Phetchabun,11518
Phetchaburi,7790
Phichit,6663
Phitsanulok,34069
Phrae,4657
Phuket,64762
Prachin Buri,7083
Prachuap Khiri Khan,8053
Ranong,4055
Ratchaburi,17800
Rayong,27867
Roi Et,14014
Sa Kaeo,8028
Sakon Nakhon,13341
Samut Prakan,33122
Samut Sakhon,18379
Samut Songkhram,8303
Saraburi,13973
Satun,7446
Sing Buri,2203
Sisaket,12138
Songkhla,58415
Sukhothai,8722
Suphan Buri,11398
Surat Thani,47030
Surin,14357
Tak,8398
Trang,25445
Trat,5247
Ubon Ratchathani,21577
Udon Thani,19813
Unknown,122
Uthai Thani,2731
Uttaradit,4158
Yala Province,7661
Yasothon,8426
