Location name,Amount spent (COP)
Amazonas,1325
Antioquia,3749797
Arauca,17185
Atlantico,417317
Bolivar,201580
Boyaca,158557
Caldas,264582
Caqueta,62725
Casanare,46462
Cauca,163676
Cesar,75907
Choco,55693
Cordoba,118737
Cundinamarca,477168
Distrito Especial,1420625
Guainia,768
Guaviare,4603
Huila,211957
La Guajira,30434
Magdalena,183093
Meta,375552
Narino,93684
Norte de Santander,407889
Putumayo,45503
Quindio,127611
Risaralda,559170
San Andres y Providencia,3121
Santander,391764
Sucre,53261
Tolima,314541
Unknown,≤100
Valle del Cauca,2660551
Vaupes,342
Vichada,457
