Location name,Amount spent (CAD)
Alberta,17853
British Columbia,16467
Manitoba,2869
New Brunswick,1778
Newfoundland and Labrador,904
Northwest Territories,105
Nova Scotia,2300
Nunavut,≤100
Ontario,43789
Prince Edward Island,282
Quebec,15184
Saskatchewan,2536
Unknown,≤100
Yukon,≤100
