Location name,Amount spent (MXN)
Aguascalientes,7476
Baja California,20286
Baja California Sur,5121
Campeche,5757
Chiapas,12067
Chihuahua,19071
Coahuila de Zaragoza,41349
Colima,12733
Distrito Federal,115201
Durango,6241
Guanajuato,22782
Guerrero,10096
Hidalgo,9292
Jalisco,74318
Michoacán de Ocampo,19427
Morelos,10131
Nayarit,4300
Nuevo León,35671
Oaxaca,12317
Puebla,19921
Querétaro Arteaga,13996
Quintana Roo,11496
San Luis Potosi,11466
Sinaloa,9229
Sonora,17163
State of Mexico,91714
Tabasco,8828
Tamaulipas,22537
Tlaxcala,3696
Unknown,≤100
Veracruz,25184
Yucatán,28035
Zacatecas,4349
