Location name,Amount spent (UYU)
Artigas Department,163
Canelones Department,339
Cerro Largo Department,134
Colonia Department,436
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,184
Montevideo Department,1344
Paysandú Department,165
Rivera Department,858
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,408
San José Department,142
Soriano Department,113
Tacuarembó Department,119
Treinta y Tres Department,≤100
Unknown,≤100
