Location name,Amount spent (SEK)
Blekinge County,3606
Dalarna County,7273
Gotland County,1676
Gävleborg County,8698
Halland County,7795
Jämtland County,3993
Jönköping County,8823
Kalmar County,5671
Kronoberg County,4447
Norrbotten County,6903
Skåne County,36572
Stockholm County,64876
Södermanland County,7827
Unknown,≤100
Uppsala County,11095
Värmland County,6629
Västerbotten County,7537
Västernorrland County,6427
Västmanland County,6727
Västra Götaland County,46865
Örebro County,7403
Östergötland County,11033
