Location name,Amount spent (INR)
Andaman and Nicobar Islands,329
Andhra Pradesh,21362
Arunachal Pradesh,960
Assam,12717
Bihar,43972
Chandigarh,1662
Chhattisgarh,26214
Dadra and Nagar Haveli,1369
Delhi,49520
Goa,2936
Gujarat,47394
Haryana,36133
Himachal Pradesh,10250
Jammu and Kashmir,5181
Jharkhand,15109
Karnataka,47731
Kerala,13303
Lakshadweep,≤100
Madhya Pradesh,54211
Maharashtra,120285
Manipur,132
Meghalaya,2998
Mizoram,882
Nagaland,991
Odisha,14366
Puducherry,4525
Punjab region,29387
Rajasthan,152534
Sikkim,833
Tamil Nadu,118687
Telangana,61961
Tripura,2341
Unknown,≤100
Uttar Pradesh,92541
Uttarakhand,8701
West Bengal,31358
