Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,426
Cerro Largo Department,≤100
Colonia Department,154
Durazno Department,≤100
Flores Department,137
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,326
Montevideo Department,3125
Paysandú Department,152
Rivera Department,672
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,417
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,133
Treinta y Tres Department,2877
