Location name,Amount spent (AUD)
Australian Capital Territory,789
Jervis Bay Territory,≤100
New South Wales,20071
Northern Territory,238
Queensland,6643
South Australia,2734
Tasmania,1319
Unknown,≤100
Victoria,10335
Western Australia,3391
