Location name,Amount spent (GTQ)
Alta Verapaz Department,235
Baja Verapaz Department,≤100
Chimaltenango Department,115
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,199
Guatemala Department,2277
Huehuetenango Department,257
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,108
Petén Department,≤100
Quetzaltenango Department,321
Quiché Department,264
Retalhuleu Department,≤100
Sacatepéquez Department,136
San Marcos Department,451
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,≤100
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
