Location name,Amount spent (MXN)
Aguascalientes,19388
Baja California,86734
Baja California Sur,19280
Campeche,35894
Chiapas,67470
Chihuahua,64851
Coahuila de Zaragoza,71675
Colima,19366
Distrito Federal,309556
Durango,19577
Guanajuato,116309
Guerrero,33254
Hidalgo,33995
Jalisco,181636
Michoacán de Ocampo,63771
Morelos,71697
Nayarit,20286
Nuevo León,519838
Oaxaca,57500
Puebla,150075
Querétaro Arteaga,54184
Quintana Roo,131015
San Luis Potosi,42754
Sinaloa,48132
Sonora,58942
State of Mexico,197295
Tabasco,23456
Tamaulipas,62467
Tlaxcala,14737
Unknown,≤100
Veracruz,98543
Yucatán,67237
Zacatecas,19469
