Location name,Amount spent (EGP)
Al Sharqia Governorate,1447
Alexandria Governorate,1128
Aswan Governorate,141
Asyut Governorate,298
Beheira Governorate,562
Beni Suef Governorate,259
Cairo Governorate,2247
Dakahlia Governorate,898
Damietta Governorate,293
Faiyum Governorate,276
Gharbia Governorate,928
Giza Governorate,821
Ismailia Governorate,181
Kafr el-Sheikh Governorate,401
Luxor Governorate,103
Matrouh Governorate,≤100
Minya Governorate,512
Monufia Governorate,531
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,249
Qalyubia Governorate,1398
Qena Governorate,236
Red Sea Governorate,≤100
Sohag Governorate,365
South Sinai Governorate,≤100
Suez Governorate,106
Unknown,≤100
