Location name,Amount spent (JPY)
Aichi Prefecture,69748
Akita Prefecture,13286
Aomori Prefecture,3272
Chiba Prefecture,56859
Ehime Prefecture,6930
Fukui Prefecture,15732
Fukuoka Prefecture,119745
Fukushima Prefecture,4853
Gifu Prefecture,14864
Gunma Prefecture,22812
Hiroshima Prefecture,19530
Hokkaido,32492
Hyōgo Prefecture,53907
Ibaraki Prefecture,13263
Ishikawa Prefecture,7612
Iwate Prefecture,3212
Kagawa Prefecture,6943
Kagoshima Prefecture,8274
Kanagawa Prefecture,91524
Kumamoto Prefecture,14094
Kyoto Prefecture,24271
Kōchi Prefecture,3326
Mie Prefecture,10986
Miyagi Prefecture,11873
Miyazaki Prefecture,6981
Nagano Prefecture,16614
Nagasaki Prefecture,10917
Nara Prefecture,11173
Niigata Prefecture,11551
Okayama Prefecture,14384
Okinawa Prefecture,6893
Osaka Prefecture,36999
Saga Prefecture,5578
Saitama Prefecture,65695
Shiga Prefecture,11148
Shimane Prefecture,7078
Shizuoka Prefecture,21549
Tochigi Prefecture,45712
Tokushima Prefecture,4192
Tokyo,112757
Tottori Prefecture,1434
Toyama Prefecture,5606
Unknown,≤100
Wakayama Prefecture,9307
Yamagata Prefecture,5886
Yamaguchi Prefecture,3342
Yamanashi Prefecture,3912
Ōita Prefecture,10387
