Location name,Amount spent (USD)
Alabama,7162
Alaska,1489
American Samoa,≤100
Arizona,11005
Arkansas,4693
California,69039
Colorado,9681
Connecticut,5916
Delaware,1568
Florida,42036
Georgia,16462
Guam,≤100
Hawaii,2224
Idaho,3756
Illinois,20183
Indiana,11974
Iowa,6748
Kansas,4577
Kentucky,6316
Louisiana,8125
Maine,2599
Maryland,14568
Massachusetts,10101
Michigan,19237
Minnesota,12706
Mississippi,4788
Missouri,9275
Montana,2144
Nebraska,2560
Nevada,4306
New Hampshire,2651
New Jersey,17496
New Mexico,4046
New York,37659
North Carolina,16055
North Dakota,2130
Ohio,15934
Oklahoma,6680
Oregon,7220
Pennsylvania,19655
Puerto Rico,≤100
Rhode Island,1288
South Carolina,8141
South Dakota,1110
Tennessee,11319
Texas,51917
Unknown,≤100
Utah,4854
Vermont,1381
Virgin Islands (U.S.),≤100
Virginia,18566
Washington,13803
"Washington, District of Columbia",8857
West Virginia,3470
Wisconsin,7732
Wyoming,956
