Location name,Amount spent (EUR)
Alsace,786
Aquitaine,1525
Auvergne,450
Basse-Normandie,456
Bourgogne,558
Bretagne,1209
Centre,801
Champagne-Ardenne,443
Corse,172
Franche-Comté,356
French Guiana,≤100
French Polynesia,≤100
French Southern Territories,≤100
Guadeloupe,≤100
Haute-Normandie,631
Languedoc-Roussillon,1350
Limousin,260
Lorraine,896
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1295
New Caledonia,≤100
Nord-Pas-de-Calais,1336
Pays de la Loire,1142
Picardie,621
Poitou-Charentes,683
Provence-Alpes-Côte d'Azur,2630
Reunion Island,≤100
Rhône-Alpes,2657
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4358
