Location name,Amount spent (USD)
Alabama,6822
Alaska,1895
American Samoa,≤100
Arizona,12771
Arkansas,5488
California,74132
Colorado,11698
Connecticut,6902
Delaware,1681
Florida,43671
Georgia,17621
Guam,≤100
Hawaii,2810
Idaho,5531
Illinois,23004
Indiana,15290
Iowa,14315
Kansas,5335
Kentucky,8120
Louisiana,11981
Maine,2911
Maryland,15330
Massachusetts,10771
Michigan,19327
Minnesota,20854
Mississippi,4576
Missouri,11572
Montana,2866
Nebraska,2877
Nevada,5428
New Hampshire,2696
New Jersey,17177
New Mexico,3996
New York,45980
North Carolina,18068
North Dakota,1070
Ohio,18534
Oklahoma,7126
Oregon,10611
Pennsylvania,26427
Puerto Rico,≤100
Rhode Island,1425
South Carolina,8754
South Dakota,1263
Tennessee,12292
Texas,47650
Unknown,≤100
Utah,7519
Vermont,1511
Virgin Islands (U.S.),≤100
Virginia,23231
Washington,16214
"Washington, District of Columbia",9618
West Virginia,3701
Wisconsin,9160
Wyoming,1076
