Location name,Amount spent (CAD)
Alberta,12163
British Columbia,11227
Manitoba,2931
New Brunswick,1540
Newfoundland and Labrador,612
Northwest Territories,106
Nova Scotia,1519
Nunavut,≤100
Ontario,23582
Prince Edward Island,245
Quebec,13536
Saskatchewan,2155
Unknown,≤100
Yukon,≤100
