Location name,Amount spent (ZAR)
Eastern Cape,856
Free State,612
Gauteng,4400
KwaZulu-Natal,1523
Limpopo,470
Mpumalanga,447
North West,392
Northern Cape,166
Unknown,≤100
Western Cape,17514
