Location name,Amount spent (MXN)
Aguascalientes,11159
Baja California,24798
Baja California Sur,8722
Campeche,20205
Chiapas,13565
Chihuahua,27172
Coahuila de Zaragoza,52936
Colima,4859
Distrito Federal,157290
Durango,5419
Guanajuato,64993
Guerrero,10133
Hidalgo,9400
Jalisco,126875
Michoacán de Ocampo,28003
Morelos,26507
Nayarit,12371
Nuevo León,126854
Oaxaca,13326
Puebla,27271
Querétaro Arteaga,28612
Quintana Roo,38962
San Luis Potosi,20720
Sinaloa,17743
Sonora,25388
State of Mexico,77995
Tabasco,8213
Tamaulipas,33255
Tlaxcala,9656
Unknown,≤100
Veracruz,33465
Yucatán,27576
Zacatecas,5134
