Location name,Amount spent (EUR)
Alsace,1038
Aquitaine,1721
Auvergne,536
Basse-Normandie,563
Bourgogne,713
Bretagne,1386
Centre,1161
Champagne-Ardenne,567
Corse,260
Franche-Comté,463
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,764
Languedoc-Roussillon,1708
Limousin,300
Lorraine,1085
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1404
New Caledonia,≤100
Nord-Pas-de-Calais,1779
Pays de la Loire,1506
Picardie,783
Poitou-Charentes,775
Provence-Alpes-Côte d'Azur,3442
Reunion Island,109
Rhône-Alpes,3523
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7402
