Location name,Amount spent (INR)
Andaman and Nicobar Islands,166
Andhra Pradesh,48127
Arunachal Pradesh,895
Assam,21089
Bihar,51396
Chandigarh,1655
Chhattisgarh,12307
Dadra and Nagar Haveli,756
Delhi,45198
Goa,3963
Gujarat,48985
Haryana,50258
Himachal Pradesh,17276
Jammu and Kashmir,12747
Jharkhand,15878
Karnataka,128103
Kerala,12037
Lakshadweep,≤100
Madhya Pradesh,48103
Maharashtra,111856
Manipur,1863
Meghalaya,183061
Mizoram,455
Nagaland,11292
Odisha,12990
Puducherry,1126
Punjab region,31043
Rajasthan,99524
Sikkim,909
Tamil Nadu,38880
Telangana,47447
Tripura,136264
Unknown,≤100
Uttar Pradesh,107179
Uttarakhand,14701
West Bengal,44278
