Location name,Amount spent (PYG)
Alto Paraguay Department,20923
Alto Paraná Department,1362262
Amambay Department,134319
Asunción,1776491
Boquerón department,89956
Caaguazú Department,513638
Caazapá Department,125051
Canindeyú Department,69542
Central Department,6472319
Concepción Department (Paraguay),110994
Cordillera Department,268247
Guairá Department,117012
Itapúa Department,700349
Misiones Department,80371
Paraguarí Department,144885
Presidente Hayes Department,131603
San Pedro Department,134277
Unknown,403
Ñeembucú Department,49329
