Location name,Amount spent (IDR)
Aceh,734402
Bali,1631461
Bangka–Belitung Islands,260557
Banten,1925529
Bengkulu,438270
Central Java,6326393
Central Kalimantan,438264
Central Sulawesi,594380
East Java,7733028
East Kalimantan,1688859
East Nusa Tenggara,2480893
Gorontalo,661785
Jakarta,7409309
Jambi,633300
Lampung,2196868
Maluku,535327
North Kalimantan,224396
North Maluku,320173
North Sulawesi,2704511
North Sumatra,3440229
Papua (province),1193871
Riau,2184596
Riau Islands Province,488554
South Kalimantan,381170
South Sulawesi,2390951
South Sumatra,2339252
Southeast Sulawesi,557064
Special Region of Yogyakarta,1987275
Unknown,81279
West Java,7377313
West Kalimantan,1745619
West Nusa Tenggara,1110353
West Papua,305346
West Sulawesi,298804
West Sumatra,768989
