Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
109637397268775,Nyugati Pályán,Splendidea Communications Kft,774373,10
224274995688487,Bohár Dániel - Riporter,Megafon,409585,2
294998357524107,Deák Dániel,Megafon,201813,2
298090296092,Orbán Viktor,Fidesz,131414,30
594088897289853,Alapjogokért Központ,Alapjogokért Központ,111310,13
191461774219575,hirado.hu,hirado.hu,101515,31
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,98400,13
178362315106,European Parliament,European Parliament,89528,15
294815374340858,Donáth Anna,Donáth Anna - Momentum,82444,2
543788999005363,ORIGO,Mediaworks Hungary Zrt.,58992,9
1534911313439123,Ripost,Ripost,43977,7
248172631940,Mandiner,Mediaworks Hungary Zrt.,41768,7
108346693873484,Győrffy Balázs,Balazs Gyorffy,39547,6
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,36930,1
592204747588011,Momentum Mozgalom,Momentum Mozgalom,31432,13
1265353903615539,Oeconomus,Oeconomus,31387,10
167604093409160,Promenad24,Csanád Média Kft.,29932,1
110435704162069,V. gr. Molnár-Gazsó János,Vitezi Rend,28710,1
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,27924,8
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,25602,66
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,24629,3
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,22758,4
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,22554,8
107898832590939,European Commission,European Commission,17892,2
100401808007704,EzaLényeg.hu,EzaLényeg.hu,17472,16
1239893846155692,Tompos Márton,Momentum Mozgalom,15151,2
256906124350468,SZOLIDARITÁS,SZOLIDARITÁS,14596,3
1926735160968885,Válasz Online,Válasz Online,14120,3
762305787130420,Józsefvárosi Fidesz,Józsefvárosi Fidesz,14008,5
213165542087259,Magyarországi Református Egyház,Magyarországi Református Egyház,13332,2
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,13057,10
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,12890,4
101645666099188,Dr. Besenyi Orsolya  - Jászberény polgármesterjelöltje,Dr. Besenyi Orsolya,12828,11
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,12075,5
2309737912651039,Péterffy Attila,Péterffy Attila,12065,2
109414841321682,Magyar Falu Program,Magyar Falu Program,11506,2
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,10717,3
851784814892644,Simicskó István,KDNP frakció,10705,1
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,10656,35
193640214178356,Gyopáros Alpár,Gyopáros Alpár,10600,5
264517713636590,PestiSracok.hu,PestiSrácok.hu,10101,2
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,9783,4
108248022589754,Bosch Magyarország,Bosch Magyarország,9187,6
85568463466,Mérce,Mérce,8637,11
100905288315705,Jelen hetilap,Liberty Press Kft.,8605,1
482780535095319,Budapesti Vállalkozásfejlesztési Közalapítvány (BVK),Budapesti Vállalkozásfejlesztési Közalapítvány,8219,1
103607814480517,Kovács Alex Gábor,Kovács Alex Gábor,7920,5
423317774385144,Magyar Demokrata hetilap,Demokrata,7829,1
126539424061030,Háttér Társaság,Háttér Társaság,7747,2
113375923695023,Fidesz Budapest,Fidesz Budapest,7733,7
109844717848217,Klímapolitikai Intézet,Klímapolitikai Intézet,7543,1
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",7263,1
103874348723105,Megoldás Mozgalom,Megoldás Mozgalom,7257,2
1237616006358749,Kékes Online,Kékes Online,7134,10
112872841638481,Jászberény többet érdemel,Jászságszava,6971,9
131283758531,HVG,HVG Kiadó ZRt.,6673,4
176736266308423,Kiss László,Kiss László,6624,1
1622954144645540,Századvég Konjunktúrakutató,Századvég Gazdaságkutató,6468,2
109651004719614,Szol24,Esélyegyenlőség és Fenntarthatóság Egyesület,6391,2
101743755608675,Batthyány Lajos Alapítvány,Batthyány Lajos Alapítvány,6023,2
105967164071611,Nagy Balázs Szemere és Ganztelep,Nagy Balázs István,6010,6
1944720419101498,Dr. Lévai István Zoltán,Dr. Lévai István Zoltán,5886,2
115230488549915,Political Capital (HU),Political Capital (HU),5848,2
125114502214390,Hollósy András,Hollósy Endre András,5792,1
142116653162328,Márki-Zay Péter,Márki-Zay Péter,5472,2
206829842043,Rétvári Bence,Rétvári Bence,5340,3
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,5333,1
100103228401991,Axióma,Axióma Kulturális Alapítvány,5313,1
109565208474856,Startlap - Utazás tippek,Central Médiacsoport Zrt.,5300,1
418919345190837,Nemes Balázs - Momentum,Momentum Mozgalom,5093,1
105841644101004,Momentum Somogy megye,Momentum Mozgalom,5090,1
1869511526651884,Zsigmond Barna Pál,Fidesz,5071,7
136387873164491,Csárdi Antal,LMP - Magyarország Zöld Pártja,5039,1
76748198685,Budapest Pride,Budapest Pride,4783,2
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,4764,4
110801091821545,Jurák Tamás,Magyar Szocialista Párt,4444,6
105502298248126,2022plusz,Kövess minket 2022 Kft.,4229,1
116609705085092,BP18,BP18,4202,2
102426795954406,Nobilis Márton,Nobilis Márton,4160,4
126893087354793,Európai Parlament,Európai Parlament,4104,6
748357198613441,DK Terézváros,Demokratikus Koalíció VI. kerület,4083,1
519279158277826,Szülői Hang,Szülői Hang,4033,4
100467642324899,Realista,Az Év Irodája,4000,1
149061108240,Kocsis Máté,Fidesz,3934,1
461099763986577,Szabó Szabolcs,Szabó Szabolcs,3931,1
320701218553533,Alternatíva Párt,Alternatíva párt,3905,4
1215492498464496,Angyal Károly,Angyal Károly Tibor,3720,3
206674032754117,"Karitáció Alapítvány, Gyógyító Bohócdoktorok",Karitáció Közhasznú Alapítvány,3701,1
876772425797119,Hölvényi György,Hölvényi György,3598,2
108395900927334,Kovács István,Kovács István Megafon,3589,3
102474413201956,Life&Body,These ads ran without a disclaimer,3454,2
256032748317057,Színes Erzsébetváros,Színes Erzsébetváros,3251,1
107640677464144,Bedő Kata,These ads ran without a disclaimer,3208,1
162344823835042,atlatszo.hu,atlatszo.hu,3203,4
14792493292,Magyar Kétfarkú Kutya Párt,Magyar Kétfarkú Kutya Párt,3102,5
270300439972751,Szemlélek,Szemlélek Alapítvány,3030,4
103058664760919,Dr. Kiss János,Kiss János,3006,1
129255963785124,Heol.hu,Heol.hu,3005,1
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,3000,2
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,2991,2
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,2978,1
1627127484170228,NHC24,Mediaworks Hungary Zrt.,2973,1
408924035951553,Körforrás,Körforrás,2870,5
125953004085398,Kemma.hu,Kemma.hu,2841,1
103581448930725,Szeretlek Csongrád-Csanád,Genesis Médiacsoport Kft.,2828,2
471093016323310,Kovács Ferenc,Dr. Kovács Ferenc,2709,1
221761091331222,Danube Institute,Danube Institute,2706,5
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,2679,1
127539005484626,Very Important Planet,thevip.hu,2678,4
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,2674,1
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,2665,2
694941900537141,Ágh Péter,Fidesz,2644,4
103141961544400,Future of Debrecen,Future of Debrecen Egyesület,2589,3
106745191902831,Bács-Kiskun 5 - DK,Nagy Szabolcs,2572,3
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,2560,2
108903048413219,A hajdú hagyományok nyomában,Hajdú-Bihar Megyei Önkormányzat,2508,1
140640289378483,Michl József,Michl József Imre,2500,1
264210363649459,Élő Norbert,Élő Norbert,2423,2
103214802353320,Magyar Szürkék Útja - Oxenweg,Hajdú-Bihar Megyei Önkormányzat,2381,1
160935777365,bama.hu - a baranya megyei hírportál,bama.hu - a baranya megyei hírportál,2361,1
92932085233,TASZ,TASZ,2331,2
197203437879379,Szaniszló Sándor,Szaniszló Sándor,2318,1
111423440209675,Stemler Diána - Momentum,Momentum Mozgalom,2284,1
345496092135627,Hír TV,Mediaworks Hungary Zrt.,2281,1
101866761388852,Szalay Kornél Géza,Szalay Kornél Géza,2266,1
100137935564861,PáKöR,Futó Gábor,2253,2
107760432613264,Sonline.hu - Somogy közösségi és hírportálja,Sonline.hu - Somogy közösségi és hírportálja,2242,1
296310837699,vaol.hu,Mediaworks Hungary Zrt.,2173,1
103670522489720,A baloldal valódi arca,A baloldal valódi arca,2172,1
471148406288233,A Vértes Agorája,Agora Sport és Szabadidő Közhasznú Nonprofit Kft.,2171,2
759778164051831,SZEKE Klub,Fulco Deák Egyesület,2171,1
276554411147,Szabolcs Online,Szabolcs Online,2164,1
147633001941737,kisalfold.hu,kisalfold.hu,2162,1
107123677458699,Külpologika,Tamás Novák,2149,2
320986996098,zaol.hu,Mediaworks Hungary Zrt.,2134,1
308871671705,BAON Bács-Kiskun Megyei Online,Mediaworks Hungary Zrt.,2131,1
473556426002468,Fogászat Relaxációban,Relax dental center,2120,1
104520732194362,NSZ - Taxis Tagozat,NSZ - Nemzeti Szakszervezet,2118,2
1640736922828484,Sermer Ádám,Adam Sermer,2116,1
506244332746545,TEOL.hu,TEOL.hu,2113,1
104958058734636,Bekezdések,Nagy Áron,2113,1
326763130286,Borsod Online,Borsod Online,2110,1
490030231058740,444,Magyar Jeti Zrt - 444.hu,2087,1
134324809941862,Szoljon.hu,Mediaworks Hungary Zrt.,2082,1
172936669443469,Dunaújvárosi Hírlap - duol.hu,Dunaújvárosi Hírlap - duol.hu,2071,1
104352305708088,Elemi.hu,Elemi.hu,2020,1
122922027734811,feol.hu,Mediaworks Hungary Zrt.,2000,1
203158929827,Beol.hu Békés Megyei Online,Mediaworks Hungary Zrt.,1999,1
116905388345518,veol.hu,Mediaworks Hungary Zrt.,1978,1
113413557192351,Csiga Gergely,Csiga Gergely Mihály,1968,1
184922004946258,Horváth Csaba,Budapest Főváros XIV. Kerület Zugló Önkormányzata,1853,2
109983377136210,Polgári Magyarországért Alapítvány,Polgári Magyarországért Alapítvány,1829,1
560525343980775,Index.hu,Index.hu,1813,1
258636010813346,Delmagyar.hu,Mediaworks Hungary Zrt.,1786,1
190624800967882,NANE Egyesület,NANE Egyesület,1773,4
105774734948091,Hungarian Conservative,Hungarian Conservative,1654,3
670269189782610,Ficsak - Fiatal Családosok Klubja,Fiatal Családosok Klubja,1606,1
106398255118247,Fonti Krisztina,Krisztina Fonti,1601,1
768832026604460,Profession Services,These ads ran without a disclaimer,1595,2
101234361488097,Gór Csaba,Dr. Gór Csaba,1567,2
1700267793534389,Kolor TV - Kazincbarcikai Városi Televízió,These ads ran without a disclaimer,1547,1
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,1456,6
633235437049843,Újpesti Hírmondó,Újpesti Hírmondó,1444,3
1418635581687462,Kertvárosi Zenede Alapítvány-Kálmán bácsi Zenedéje,These ads ran without a disclaimer,1436,1
102034821807219,Borsik Viktor,Viktor Borsik,1433,1
18562323874,Élet és Irodalom,Székely János,1404,2
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,1387,1
454358134657440,MKKP Győr,Magyar Kétfarkú Kutya Párt,1362,2
683873478294797,Kunhalmi Ágnes,MSZP,1336,1
105684554303109,Bíró Barna,Bíró Barna,1316,1
113028273433856,Budafok-Tétény / Közösségre kapcsolva,Közösségre kapcsolva 22,1250,4
139595548253813,"Szeged365 - szegedi, független, igazi",These ads ran without a disclaimer,1243,2
286759004682537,Tranzit,Kommentár Alapítvány,1189,1
222935035147780,moszkvater.com,moszkvater.com,1183,4
105129068891221,Frisshirek.hu,Genesis Médiacsoport Kft.,1152,1
221754767906167,Bencsik János - A Tatai medencéért,Bencsik János,1135,2
112064378854586,Terror Háza Múzeum / House of Terror Museum,Terror Háza Múzeum / House of Terror Museum,1120,1
