Location name,Amount spent (BRL)
Acre (state),349
Alagoas,1415
Amapá,497
Amazonas,3321
Bahia,6283
Ceará,6345
Espírito Santo,2676
Federal District,3871
Goiás,7664
Maranhão,5135
Mato Grosso,3595
Mato Grosso do Sul,2067
Minas Gerais,21605
Paraná,6979
Paraíba,1930
Pará,5020
Pernambuco,7488
Piauí,1685
Rio Grande do Norte,2033
Rio Grande do Sul,11621
Rio de Janeiro (state),14366
Rondônia,1090
Roraima,361
Santa Catarina,6566
Sergipe,1442
São Paulo (state),42067
Tocantins,743
Unknown,≤100
