Location name,Amount spent (EUR)
Alsace,566
Aquitaine,1163
Auvergne,364
Basse-Normandie,420
Bourgogne,430
Bretagne,1013
Centre,706
Champagne-Ardenne,359
Corse,161
Franche-Comté,297
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,565
Languedoc-Roussillon,1002
Limousin,192
Lorraine,708
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,920
New Caledonia,≤100
Nord-Pas-de-Calais,1327
Pays de la Loire,1376
Picardie,615
Poitou-Charentes,558
Provence-Alpes-Côte d'Azur,2026
Reunion Island,197
Rhône-Alpes,2033
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4381
