Location name,Amount spent (EGP)
Al Sharqia Governorate,1935
Alexandria Governorate,931
Aswan Governorate,126
Asyut Governorate,337
Beheira Governorate,538
Beni Suef Governorate,178
Cairo Governorate,2129
Dakahlia Governorate,968
Damietta Governorate,254
Faiyum Governorate,183
Gharbia Governorate,842
Giza Governorate,706
Ismailia Governorate,552
Kafr el-Sheikh Governorate,530
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,364
Monufia Governorate,476
New Valley Governorate,205
North Sinai Governorate,≤100
Port Said Governorate,215
Qalyubia Governorate,675
Qena Governorate,229
Red Sea Governorate,≤100
Sohag Governorate,346
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
