Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,1104986
Apure,250000
Aragua,1162485
Barinas,750000
Bolívar (state),1500000
Capital District,3250000
Carabobo,1752478
Cojedes,237497
Delta Amacuro,72499
Falcón,6750000
Guárico,500000
Lara,1379983
Miranda (state),1024987
Monagas,500000
Mérida,750000
Nueva Esparta,374995
Portuguesa,500000
Sucre,407495
Trujillo,500000
Táchira,1477481
Unknown,≤100
Vargas,250000
Yaracuy,1500000
Zulia,3250000
