Location name,Amount spent (JPY)
Aichi Prefecture,38009
Akita Prefecture,2191
Aomori Prefecture,3430
Chiba Prefecture,33178
Ehime Prefecture,5587
Fukui Prefecture,5370
Fukuoka Prefecture,56075
Fukushima Prefecture,5068
Gifu Prefecture,7357
Gunma Prefecture,8720
Hiroshima Prefecture,16707
Hokkaido,22459
Hyōgo Prefecture,26662
Ibaraki Prefecture,9893
Ishikawa Prefecture,4511
Iwate Prefecture,3855
Kagawa Prefecture,7459
Kagoshima Prefecture,5138
Kanagawa Prefecture,67551
Kumamoto Prefecture,9322
Kyoto Prefecture,18133
Kōchi Prefecture,2099
Mie Prefecture,6949
Miyagi Prefecture,15837
Miyazaki Prefecture,3596
Nagano Prefecture,6798
Nagasaki Prefecture,7188
Nara Prefecture,4799
Niigata Prefecture,6601
Okayama Prefecture,6422
Okinawa Prefecture,10119
Osaka Prefecture,52932
Saga Prefecture,4792
Saitama Prefecture,29788
Shiga Prefecture,5619
Shimane Prefecture,2460
Shizuoka Prefecture,15221
Tochigi Prefecture,7383
Tokushima Prefecture,2171
Tokyo,87077
Tottori Prefecture,1592
Toyama Prefecture,3658
Unknown,≤100
Wakayama Prefecture,2810
Yamagata Prefecture,3212
Yamaguchi Prefecture,4715
Yamanashi Prefecture,3165
Ōita Prefecture,5627
