Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,332
Apurímac Region,≤100
Arequipa Region,300
Ayacucho Region,137
Cajamarca Region,265
Callao,243
Cusco Region,258
Huancavelica Region,≤100
Huánuco Region,139
Ica Region,248
Junín Region,254
La Libertad Region,443
Lambayeque Region,307
Lima Region,2263
Loreto Region,520
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,600
Puno Region,300
San Martín Region,194
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,140
Unknown,≤100
