Location name,Amount spent (EUR)
Alsace,671
Aquitaine,1120
Auvergne,314
Basse-Normandie,386
Bourgogne,438
Bretagne,937
Centre,757
Champagne-Ardenne,325
Corse,163
Franche-Comté,271
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,824
Languedoc-Roussillon,1006
Limousin,195
Lorraine,799
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,962
New Caledonia,≤100
Nord-Pas-de-Calais,1234
Pays de la Loire,1066
Picardie,465
Poitou-Charentes,494
Provence-Alpes-Côte d'Azur,1969
Reunion Island,103
Rhône-Alpes,1866
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3557
