Location name,Amount spent (VND)
An Giang Province,16237
Bà Rịa–Vũng Tàu Province,49964
Bình Dương Province,151485
Bình Phước Province,76454
Bình Thuận Province,33812
Bình Định Province,23387
Bạc Liêu Province,6603
Bắc Giang Province,90729
Bắc Kạn Province,7845
Bắc Ninh Province,41404
Bến Tre Province,18534
Cao Bằng Province,11402
Cà Mau Province,13824
Cần Thơ,14574
Da Nang,29593
Gia Lai Province,35188
Haiphong,55356
Ho Chi Minh City,1176984
Hà Giang Province,9998
Hà Nam Province,25918
Hà Tĩnh Province,42113
Hòa Bình Province,18998
Hưng Yên Province,35100
Hải Dương Province,64746
Hậu Giang Province,7272
Khánh Hòa Province,30393
Kiên Giang Province,20907
Kon Tum Province,8768
Lai Châu Province,4394
Long An Province,28160
Lào Cai Province,7605
Lâm Đồng Province,36383
Lạng Sơn Province,16303
Nam Định Province,45181
Nghệ An Province,126771
Ninh Bình Province,22769
Ninh Thuận Province,11585
Phú Thọ Province,58448
Phú Yên Province,15737
Quảng Bình Province,53015
Quảng Nam Province,39299
Quảng Ngãi Province,225970
Quảng Ninh Province,37739
Quảng Trị Province,18841
Sóc Trăng Province,8946
Sơn La Province,23182
Thanh Hóa Province,138743
Thái Bình Province,49411
Thái Nguyên Province,41623
Thừa Thiên–Huế Province,20537
Tiền Giang Province,16891
Trà Vinh Province,9016
Tuyên Quang Province,29184
Tây Ninh Province,26394
Unknown,2065
Vĩnh Long Province,10377
Vĩnh Phúc Province,45012
Yên Bái Province,29434
Điện Biên Province,15183
Đắk Lắk Province,79209
Đắk Nông Province,15957
Đồng Nai Province,171317
Đồng Tháp Province,13699
