Location name,Amount spent (MYR)
Johor,695
Kedah,166
Kelantan,≤100
Kuala Lumpur,419
Labuan,≤100
Malacca,105
Negeri Sembilan,645
Pahang,135
Penang,136
Perak,174
Perlis,≤100
Putrajaya,≤100
Sabah,183
Sarawak,273
Selangor,701
Terengganu,116
Unknown,≤100
