Location name,Amount spent (JPY)
Aichi Prefecture,10392
Akita Prefecture,1183
Aomori Prefecture,1461
Chiba Prefecture,9750
Ehime Prefecture,1714
Fukui Prefecture,1018
Fukuoka Prefecture,28373
Fukushima Prefecture,2092
Gifu Prefecture,2667
Gunma Prefecture,2248
Hiroshima Prefecture,3751
Hokkaido,7563
Hyōgo Prefecture,14281
Ibaraki Prefecture,3836
Ishikawa Prefecture,1972
Iwate Prefecture,1341
Kagawa Prefecture,2243
Kagoshima Prefecture,1825
Kanagawa Prefecture,16315
Kumamoto Prefecture,3706
Kyoto Prefecture,4778
Kōchi Prefecture,790
Mie Prefecture,2090
Miyagi Prefecture,9317
Miyazaki Prefecture,1893
Nagano Prefecture,3065
Nagasaki Prefecture,2924
Nara Prefecture,2226
Niigata Prefecture,2211
Okayama Prefecture,2613
Okinawa Prefecture,3653
Osaka Prefecture,13816
Saga Prefecture,2040
Saitama Prefecture,10903
Shiga Prefecture,2417
Shimane Prefecture,865
Shizuoka Prefecture,4597
Tochigi Prefecture,2135
Tokushima Prefecture,1207
Tokyo,39176
Tottori Prefecture,725
Toyama Prefecture,1196
Unknown,≤100
Wakayama Prefecture,1460
Yamagata Prefecture,1466
Yamaguchi Prefecture,2276
Yamanashi Prefecture,1149
Ōita Prefecture,2657
