Location name,Amount spent (PEN)
Amazonas Region,193
Ancash Region,955
Apurímac Region,251
Arequipa Region,780
Ayacucho Region,459
Cajamarca Region,782
Callao,295
Cusco Region,838
Huancavelica Region,124
Huánuco Region,423
Ica Region,803
Junín Region,742
La Libertad Region,1275
Lambayeque Region,906
Lima Region,5148
Loreto Region,527
Madre de Dios Region,176
Moquegua Region,129
Pasco Region,149
Piura Region,1347
Puno Region,967
San Martín Region,557
Tacna Region,260
Tumbes Region,219
Ucayali Region,417
Unknown,≤100
