Location name,Amount spent (INR)
Andaman and Nicobar Islands,287
Andhra Pradesh,109729
Arunachal Pradesh,3226
Assam,30869
Bihar,66940
Chandigarh,2711
Chhattisgarh,29227
Dadra and Nagar Haveli,1651
Delhi,61555
Goa,2618
Gujarat,47515
Haryana,47243
Himachal Pradesh,13901
Jammu and Kashmir,15792
Jharkhand,19071
Karnataka,243236
Kerala,18224
Lakshadweep,≤100
Madhya Pradesh,66877
Maharashtra,170987
Manipur,2037
Meghalaya,228298
Mizoram,740
Nagaland,32379
Odisha,17121
Puducherry,2805
Punjab region,32725
Rajasthan,135974
Sikkim,901
Tamil Nadu,57356
Telangana,81799
Tripura,5124
Unknown,≤100
Uttar Pradesh,116241
Uttarakhand,12235
West Bengal,61080
