Location name,Amount spent (AUD)
Australian Capital Territory,1022
Jervis Bay Territory,≤100
New South Wales,14795
Northern Territory,535
Queensland,14667
South Australia,4641
Tasmania,2012
Unknown,≤100
Victoria,14504
Western Australia,7634
