Location name,Amount spent (EGP)
Al Sharqia Governorate,2696
Alexandria Governorate,728
Aswan Governorate,103
Asyut Governorate,303
Beheira Governorate,544
Beni Suef Governorate,172
Cairo Governorate,3904
Dakahlia Governorate,1130
Damietta Governorate,247
Faiyum Governorate,153
Gharbia Governorate,612
Giza Governorate,1504
Ismailia Governorate,606
Kafr el-Sheikh Governorate,316
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,309
Monufia Governorate,540
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,330
Qalyubia Governorate,1040
Qena Governorate,175
Red Sea Governorate,≤100
Sohag Governorate,279
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
