Location name,Amount spent (HUF)
Baranya County,93802
Borsod-Abaúj-Zemplén County,113234
Budapest,506667
Bács-Kiskun County,93401
Békés County,73875
Csongrád County,101711
Fejér County,94870
Győr-Moson-Sopron County,143147
Hajdú-Bihar County,89895
Heves County,72730
Jász-Nagykun-Szolnok County,70918
Komárom-Esztergom County,62570
Nógrád County,43176
Pest County,218103
Somogy County,61867
Szabolcs-Szatmár-Bereg County,90073
Tolna County,49209
Unknown,≤100
Vas County,56497
Veszprém County,76652
Zala County,66357
