Location name,Amount spent (PKR)
Azad Kashmir,1603
Balochistan,4390
Federally Administered Tribal Areas,452
Gilgit-Baltistan,769
Islamabad Capital Territory,2831
Khyber Pakhtunkhwa,15059
Punjab,50166
Sindh,31143
Unknown,≤100
