Location name,Amount spent (VND)
An Giang Province,10296
Bà Rịa–Vũng Tàu Province,21937
Bình Dương Province,119395
Bình Phước Province,4955
Bình Thuận Province,6526
Bình Định Province,6229
Bạc Liêu Province,2175
Bắc Giang Province,5947
Bắc Kạn Province,535
Bắc Ninh Province,6109
Bến Tre Province,3443
Cao Bằng Province,27426
Cà Mau Province,3171
Cần Thơ,11511
Da Nang,19747
Gia Lai Province,28954
Haiphong,8274
Ho Chi Minh City,1630076
Hà Giang Province,727
Hà Nam Province,2658
Hà Tĩnh Province,4832
Hòa Bình Province,1748
Hưng Yên Province,5461
Hải Dương Province,10363
Hậu Giang Province,1567
Khánh Hòa Province,13539
Kiên Giang Province,4851
Kon Tum Province,1550
Lai Châu Province,179
Long An Province,24440
Lào Cai Province,2759
Lâm Đồng Province,6842
Lạng Sơn Province,2269
Nam Định Province,141504
Nghệ An Province,36223
Ninh Bình Province,2514
Ninh Thuận Province,3318
Phú Thọ Province,3551
Phú Yên Province,3385
Quảng Bình Province,2549
Quảng Nam Province,8314
Quảng Ngãi Province,4829
Quảng Ninh Province,3157
Quảng Trị Province,2974
Sóc Trăng Province,3017
Sơn La Province,2206
Thanh Hóa Province,8223
Thái Bình Province,267895
Thái Nguyên Province,153888
Thừa Thiên–Huế Province,7356
Tiền Giang Province,9315
Trà Vinh Province,1929
Tuyên Quang Province,1939
Tây Ninh Province,6217
Unknown,≤100
Vĩnh Long Province,3025
Vĩnh Phúc Province,4580
Yên Bái Province,26399
Điện Biên Province,1983
Đắk Lắk Province,8709
Đắk Nông Province,2225
Đồng Nai Province,106763
Đồng Tháp Province,4201
