Location name,Amount spent (DKK)
Capital Region of Denmark,35730
Central Denmark Region,18385
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7899
Region of Southern Denmark,16599
Unknown,≤100
Zealand Region,10750
