Location name,Amount spent (JPY)
Aichi Prefecture,36196
Akita Prefecture,2527
Aomori Prefecture,4799
Chiba Prefecture,37022
Ehime Prefecture,4264
Fukui Prefecture,2723
Fukuoka Prefecture,49449
Fukushima Prefecture,6735
Gifu Prefecture,7232
Gunma Prefecture,7224
Hiroshima Prefecture,10828
Hokkaido,22511
Hyōgo Prefecture,25273
Ibaraki Prefecture,9851
Ishikawa Prefecture,4799
Iwate Prefecture,6255
Kagawa Prefecture,5729
Kagoshima Prefecture,4770
Kanagawa Prefecture,70755
Kumamoto Prefecture,8362
Kyoto Prefecture,16540
Kōchi Prefecture,1715
Mie Prefecture,6931
Miyagi Prefecture,16435
Miyazaki Prefecture,3604
Nagano Prefecture,6956
Nagasaki Prefecture,4477
Nara Prefecture,5950
Niigata Prefecture,6171
Okayama Prefecture,11038
Okinawa Prefecture,11990
Osaka Prefecture,54322
Saga Prefecture,4525
Saitama Prefecture,30960
Shiga Prefecture,5635
Shimane Prefecture,2174
Shizuoka Prefecture,13107
Tochigi Prefecture,7628
Tokushima Prefecture,2187
Tokyo,103691
Tottori Prefecture,1351
Toyama Prefecture,3112
Unknown,≤100
Wakayama Prefecture,3727
Yamagata Prefecture,3809
Yamaguchi Prefecture,4236
Yamanashi Prefecture,3045
Ōita Prefecture,5710
