Location name,Amount spent (GTQ)
Alta Verapaz Department,343
Baja Verapaz Department,≤100
Chimaltenango Department,506
Chiquimula Department,173
El Progreso Department,≤100
Escuintla Department,181
Guatemala Department,11577
Huehuetenango Department,288
Izabal Department,117
Jalapa Department,160
Jutiapa Department,≤100
Petén Department,131
Quetzaltenango Department,1149
Quiché Department,179
Retalhuleu Department,139
Sacatepéquez Department,443
San Marcos Department,383
Santa Rosa Department,≤100
Sololá Department,112
Suchitepéquez Department,255
Totonicapán Department,136
Unknown,≤100
Zacapa Department,162
