Location name,Amount spent (TWD)
Changhua,10367
Chiayi,2250
Hsinchu,4705
Hsinchu City,19452
Hualien,4300
Kaohsiung,34063
Keelung City,4067
Kinmen,649
Lienchiang,≤100
Miaoli,5292
Nantou,3665
New Taipei City,59478
Penghu,947
Pingtung,6829
Taichung,40575
Tainan,22155
Taipei,47928
Taitung,3103
Taoyuan City,31948
Unknown,4202
Yilan,3926
Yunlin,5731
