Location name,Amount spent (EUR)
Aruba,≤100
"Bonaire, Sint Eustatius and Saba",≤100
Curaçao,≤100
Drenthe,543
Flevoland,478
Friesland,755
Gelderland,2198
Groningen,648
Limburg,1085
Noord-Holland,3534
North Brabant,2604
Overijssel,1258
Sint Maarten,≤100
Unknown,≤100
Utrecht,1749
Zeeland,399
Zuid-Holland,5028
