Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
103361322680851,Armin Hartmann,Hartmann2023,835,32
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,465,2
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,421,5
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,274,26
192306360802833,Grünliberale Luzern Land,Grünliberale Luzern Land,255,7
106321615725425,Oui à la Loi climat,Oui à la loi climat,247,5
162745750462776,Mieterinnen- und Mieterverband MV,Mieterinnen- und Mieterverband MV,238,8
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,232,22
103915262545181,KMU geprüft,KMU geprüft,206,137
1492503634364441,Liste d'Union Populaire,Ensemble à Gauche-Genève,194,16
1526697364280066,Partito Socialista Ticino,Partito Socialista Ticino,188,8
1054282644596776,GE-démocratie,GE-démocratie,171,4
104009029660183,Die Junge Mitte Kanton Luzern,Die Junge Mitte Kanton Luzern,147,7
176998335660824,PLRT,PLRT,138,30
97220294896,SP Schweiz,SP Schweiz,137,2
1429860470617358,Le Centre / Ville de Genève,Le Centre / Ville de Genève,130,13
1504706079628728,ASLOCA Suisse,ASLOCA Suisse,124,8
260591187302640,Parti socialiste genevois,Parti socialiste genevois,114,11
112233721686095,Ylfete Fanaj in den Regierungsrat,Ylfete Fanaj in den Regierungsrat,≤100,3
100844786282093,SÌ alla Legge clima,Sì alla legge clima,≤100,5
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,≤100,7
116890591678651,Vert'libéraux - Genève,Parti vert'libéral genevois,≤100,4
100213996124067,Grünliberale Sektion Emmen-Hochdorf,Grünliberale Sektion Emmen-Hochdorf,≤100,9
291359247729208,PS Suisse,PS Suisse,≤100,2
101469746117157,"Xavier Magnin, candidat au Conseil d'Etat 2023",Xavier Magnin,≤100,1
1526151274353450,FDP.Die Liberalen Horw,FDP.Die Liberalen Horw,≤100,53
75338704887,Fondation Franz Weber,Fondation Franz Weber,≤100,1
100267076206781,Ensemble à Gauche solidaritéS-Parti du Travail-DAL,Ensemble à Gauche,≤100,7
305699609616768,Verdi Liberali Ticino,verdi liberali Ticino,≤100,16
1524954517562834,Prominis,Prominis GmbH,≤100,4
227720898168117,Markus Estermann,Markus Estermann,≤100,1
370079583583452,Edoardo Cappelletti,Edoardo Cappelletti,≤100,1
463645587339110,Piero Marchesi,Piero Marchesi,≤100,5
353685744720476,Jungfreisinnige Stadt Luzern,Jungfreisinnige Stadt Luzern,≤100,4
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,≤100,2
1001274146740534,"André Marti, Kantonsrat Kanton Luzern",André Marti,≤100,2
269029886456205,Giorgio Fonio,Giorgio Fonio,≤100,2
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100,5
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100,7
185972504782621,FDP.Die Liberalen Luzern,FDP.Die Liberalen Luzern,≤100,4
2246378485612019,ASI - Associazione Svizzera Inquilini,ASI - Associazione Svizzera Inquilini,≤100,8
105890175750510,Luca Carbone  lucacarbone.ch,Luca Carbone,≤100,5
676306169090037,Remzi Durmishi,Remzi Durmishi,≤100,5
140334276690,Grüne Luzern,GRÜNE Luzern,≤100,6
756722317788172,FDP.Die Liberalen Stadt Luzern,FDP.Die Liberalen Stadt Luzern,≤100,6
467929373784855,COA - Coalition animaliste,Coalition animaliste (COA),≤100,16
103369269163798,Mittendrin,Hanspeter Renggli,≤100,6
1483343695307824,Campax,Campax,≤100,6
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,≤100,10
112058825151884,Michael Teixeira Queiros,Michael Teixeira Queiros,≤100,1
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,≤100,4
291504744242501,Lega dei Ticinesi - sezione Chiasso,Stefano Tonini,≤100,3
101664679500421,Uni·es par nos convictions · Engagé·es pour Genève,Uni·es par nos convictions · Engagé·es pour Genève,≤100,4
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100,2
169510248558,Die Mitte - Le Centre,Die Mitte,≤100,6
