Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
564188034075673,Roberto Enriquez,an advertiser in Venezuela,41975429,2
11449543593,Carlos Ocariz,an advertiser in Venezuela,18500000,121
148231808588187,Gatorade Venezuela,an advertiser in Venezuela,16750000,3
304247300393,Juan Pablo Guanipa,an advertiser in Venezuela,8000000,2
100112745687674,Creemos Alianza Ciudadana,an advertiser in Venezuela,6000000,2
108236238428619,Concejo Municipal de Maracaibo,an advertiser in Venezuela,5000000,2
114588254559934,Concejo Municipal de San Francisco,an advertiser in Venezuela,4250000,2
100426612940178,Concejo Municipal de San Diego,an advertiser in Venezuela,1500000,1
101141362593364,CAM en Español,These ads ran without a disclaimer,1000000,2
110647840532680,Merge Mayor,These ads ran without a disclaimer,542875,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,3652,1
102094932520949,Tu Guia Migratoria Chile,These ads ran without a disclaimer,624,1
104020935928278,Pan Passport,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,1
622390311179612,وقف الأمة Ümmet Vakfı,These ads ran without a disclaimer,≤100,1
106068488158725,Graduatez - College Journey,These ads ran without a disclaimer,≤100,1
239295866437866,Eagle Natural Resources,These ads ran without a disclaimer,≤100,1
427787940590188,Радио Китай,These ads ran without a disclaimer,≤100,2
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,2
134571176638205,One Tree Planted,These ads ran without a disclaimer,≤100,3
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,2
2272485479733990,Consulate General of China in Erbil,These ads ran without a disclaimer,≤100,1
