Location name,Amount spent (INR)
Andaman and Nicobar Islands,179
Andhra Pradesh,99071
Arunachal Pradesh,1426
Assam,12480
Bihar,30112
Chandigarh,1713
Chhattisgarh,57456
Dadra and Nagar Haveli,645
Delhi,59898
Goa,2817
Gujarat,79723
Haryana,43022
Himachal Pradesh,10004
Jammu and Kashmir,6002
Jharkhand,13072
Karnataka,52658
Kerala,19924
Lakshadweep,≤100
Madhya Pradesh,115120
Maharashtra,176525
Manipur,206
Meghalaya,834
Mizoram,419
Nagaland,561
Odisha,10590
Puducherry,608
Punjab region,39444
Rajasthan,142480
Sikkim,817
Tamil Nadu,44008
Telangana,77638
Tripura,1479
Unknown,≤100
Uttar Pradesh,97343
Uttarakhand,11146
West Bengal,122016
