Location name,Amount spent (DKK)
Capital Region of Denmark,49257
Central Denmark Region,26953
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11500
Region of Southern Denmark,23491
Unknown,≤100
Zealand Region,16199
