Location name,Amount spent (RON)
Alba County,602
Arad County,639
Argeș County,1017
Bacău County,759
Bihor County,1079
Bistrița-Năsăud County,438
Botoșani County,390
Brașov County,1124
Brăila County,406
Bucharest,3278
Buzău County,612
Caraș-Severin County,448
Cluj County,1248
Constanța County,1132
Covasna County,307
Călărași County,374
Dolj County,1112
Dâmbovița County,567
Galați County,907
Giurgiu County,350
Gorj County,652
Harghita County,566
Hunedoara County,612
Ialomița County,279
Iași County,2055
Ilfov County,771
Maramureș County,631
Mehedinți County,298
Mureș County,789
Neamț County,1422
Olt County,370
Prahova County,1304
Satu Mare County,394
Sibiu County,613
Suceava County,723
Sălaj County,282
Teleorman County,310
Timiș County,1342
Tulcea County,246
Unknown,≤100
Vaslui County,427
Vrancea County,681
Vâlcea County,457
