Location name,Amount spent (JPY)
Aichi Prefecture,44939
Akita Prefecture,9655
Aomori Prefecture,1906
Chiba Prefecture,58024
Ehime Prefecture,2816
Fukui Prefecture,1822
Fukuoka Prefecture,127650
Fukushima Prefecture,2570
Gifu Prefecture,5211
Gunma Prefecture,7930
Hiroshima Prefecture,4421
Hokkaido,33507
Hyōgo Prefecture,109501
Ibaraki Prefecture,7603
Ishikawa Prefecture,5334
Iwate Prefecture,1749
Kagawa Prefecture,4610
Kagoshima Prefecture,2276
Kanagawa Prefecture,76952
Kumamoto Prefecture,8093
Kyoto Prefecture,18700
Kōchi Prefecture,1930
Mie Prefecture,4868
Miyagi Prefecture,25006
Miyazaki Prefecture,4298
Nagano Prefecture,5731
Nagasaki Prefecture,11190
Nara Prefecture,6618
Niigata Prefecture,7858
Okayama Prefecture,3853
Okinawa Prefecture,6166
Osaka Prefecture,62935
Saga Prefecture,9057
Saitama Prefecture,43839
Shiga Prefecture,6047
Shimane Prefecture,1465
Shizuoka Prefecture,29129
Tochigi Prefecture,6996
Tokushima Prefecture,2822
Tokyo,246328
Tottori Prefecture,1210
Toyama Prefecture,2469
Unknown,≤100
Wakayama Prefecture,4851
Yamagata Prefecture,3055
Yamaguchi Prefecture,3072
Yamanashi Prefecture,2343
Ōita Prefecture,16436
