Location name,Amount spent (TRY)
Adana Province,655
Adıyaman Province,104
Afyonkarahisar Province,498
Aksaray Province,150
Amasya Province,≤100
Ankara Province,2187
Antalya Province,1063
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,379
Ağrı Province,≤100
Balıkesir Province,514
Bartın Province,≤100
Batman Province,112
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,138
Burdur Province,≤100
Bursa Province,1155
Denizli Province,353
Diyarbakır Province,244
Düzce Province,381
Edirne Province,163
Elazığ Province,116
Erzincan Province,≤100
Erzurum Province,296
Eskişehir Province,337
Gaziantep Province,515
Giresun Province,149
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,519
Isparta Province,160
Istanbul Province,13002
Iğdır Province,≤100
Kahramanmaraş Province,285
Karabük Province,≤100
Karaman Province,111
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,395
Kilis Province,≤100
Kocaeli Province,671
Konya Province,1108
Kütahya Province,169
Kırklareli Province,149
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,233
Manisa Province,409
Mardin Province,180
Mersin Province,704
Muğla Province,393
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,258
Osmaniye Province,120
Rize Province,113
Sakarya Province,275
Samsun Province,524
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,137
Tekirdağ Province,356
Tokat Province,400
Trabzon Province,240
Tunceli Province,≤100
Unknown,≤100
Uşak Province,130
Van Province,123
Yalova Province,≤100
Yozgat Province,237
Zonguldak Province,2420
Çanakkale Province,195
Çankırı Province,≤100
Çorum Province,133
İzmir Province,1899
Şanlıurfa Province,355
Şırnak Province,≤100
