Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,192
Apurímac Region,≤100
Arequipa Region,310
Ayacucho Region,≤100
Cajamarca Region,137
Callao,122
Cusco Region,233
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,200
Junín Region,150
La Libertad Region,361
Lambayeque Region,250
Lima Region,2521
Loreto Region,105
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,368
Puno Region,179
San Martín Region,101
Tacna Region,106
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
