Location name,Amount spent (PKR)
Azad Kashmir,1978
Balochistan,2854
Federally Administered Tribal Areas,602
Gilgit-Baltistan,873
Islamabad Capital Territory,3666
Khyber Pakhtunkhwa,15561
Punjab,70914
Sindh,24708
Unknown,≤100
