Location name,Amount spent (PLN)
Greater Poland Voivodeship,4687
Kuyavian-Pomeranian Voivodeship,2399
Lesser Poland Voivodeship,4913
Lower Silesian Voivodeship,3656
Lublin Voivodeship,2341
Lubusz Voivodeship,993
Masovian Voivodeship,8121
Opole Voivodeship,906
Podkarpackie Voivodeship,1945
Podlaskie Voivodeship,1330
Pomeranian Voivodeship,2810
Silesian Voivodeship,4957
Unknown,≤100
Warmian-Masurian Voivodeship,1408
West Pomeranian Voivodeship,1886
Łódź Voivodeship,3103
Świętokrzyskie Voivodeship,1191
